Time,5 ZONE PVAV:DesPer 1:Des Heat Mass Flow [kg/s],5 ZONE PVAV:DesPer 1:Des Heat Cap [W],5 ZONE PVAV:DesPer 1:Des Cool Mass Flow [kg/s],5 ZONE PVAV:DesPer 1:Des Sens Cool Cap [W],5 ZONE PVAV:DesPer 1:Des Tot Cool Cap [W],5 ZONE PVAV:DesPer 2:Des Heat Mass Flow [kg/s],5 ZONE PVAV:DesPer 2:Des Heat Cap [W],5 ZONE PVAV:DesPer 2:Des Cool Mass Flow [kg/s],5 ZONE PVAV:DesPer 2:Des Sens Cool Cap [W],5 ZONE PVAV:DesPer 2:Des Tot Cool Cap [W],5 ZONE PVAV 1:DesPer 1:Des Heat Mass Flow [kg/s],5 ZONE PVAV 1:DesPer 1:Des Heat Cap [W],5 ZONE PVAV 1:DesPer 1:Des Cool Mass Flow [kg/s],5 ZONE PVAV 1:DesPer 1:Des Sens Cool Cap [W],5 ZONE PVAV 1:DesPer 1:Des Tot Cool Cap [W],5 ZONE PVAV 1:DesPer 2:Des Heat Mass Flow [kg/s],5 ZONE PVAV 1:DesPer 2:Des Heat Cap [W],5 ZONE PVAV 1:DesPer 2:Des Cool Mass Flow [kg/s],5 ZONE PVAV 1:DesPer 2:Des Sens Cool Cap [W],5 ZONE PVAV 1:DesPer 2:Des Tot Cool Cap [W],5 ZONE PVAV 2:DesPer 1:Des Heat Mass Flow [kg/s],5 ZONE PVAV 2:DesPer 1:Des Heat Cap [W],5 ZONE PVAV 2:DesPer 1:Des Cool Mass Flow [kg/s],5 ZONE PVAV 2:DesPer 1:Des Sens Cool Cap [W],5 ZONE PVAV 2:DesPer 1:Des Tot Cool Cap [W],5 ZONE PVAV 2:DesPer 2:Des Heat Mass Flow [kg/s],5 ZONE PVAV 2:DesPer 2:Des Heat Cap [W],5 ZONE PVAV 2:DesPer 2:Des Cool Mass Flow [kg/s],5 ZONE PVAV 2:DesPer 2:Des Sens Cool Cap [W],5 ZONE PVAV 2:DesPer 2:Des Tot Cool Cap [W]
00:10:00,7.839324E-01,0.000000E+00,2.155544E+00,3.417442E+04,2.509112E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00,7.839324E-01,0.000000E+00,1.094656E+00,1.868111E+04,1.089931E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00,7.839324E-01,0.000000E+00,1.247692E+00,2.129279E+04,1.242307E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00
00:20:00,7.839324E-01,0.000000E+00,2.168840E+00,3.418584E+04,2.507418E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00,7.839324E-01,0.000000E+00,1.108529E+00,1.876971E+04,1.088720E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00,7.839324E-01,0.000000E+00,1.260878E+00,2.134931E+04,1.238347E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00
00:30:00,7.839324E-01,0.000000E+00,2.180072E+00,3.416838E+04,2.502431E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00,7.839324E-01,0.000000E+00,1.120080E+00,1.881559E+04,1.084883E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00,7.839324E-01,0.000000E+00,1.271510E+00,2.135939E+04,1.231554E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00
00:40:00,7.839324E-01,0.000000E+00,2.189655E+00,3.412785E+04,2.495477E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00,7.839324E-01,0.000000E+00,1.129738E+00,1.882685E+04,1.078925E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00,7.839324E-01,0.000000E+00,1.280064E+00,2.133200E+04,1.222490E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00
00:50:00,7.839324E-01,0.000000E+00,2.197916E+00,3.406883E+04,2.487262E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00,7.839324E-01,0.000000E+00,1.137854E+00,1.881003E+04,1.071253E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00,7.839324E-01,0.000000E+00,1.286928E+00,2.127441E+04,1.211601E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00
01:00:00,7.839324E-01,0.000000E+00,2.205123E+00,3.399505E+04,2.478098E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00,7.839324E-01,0.000000E+00,1.144716E+00,1.877048E+04,1.062198E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00,7.839324E-01,0.000000E+00,1.292420E+00,2.119246E+04,1.199255E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00
01:10:00,7.839324E-01,0.000000E+00,2.214208E+00,3.400577E+04,2.477864E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00,7.839324E-01,0.000000E+00,1.153451E+00,1.881095E+04,1.059881E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00,7.839324E-01,0.000000E+00,1.299593E+00,2.119429E+04,1.194167E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00
01:20:00,7.839324E-01,0.000000E+00,2.222743E+00,3.400878E+04,2.477116E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00,7.839324E-01,0.000000E+00,1.161524E+00,1.883912E+04,1.056803E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00,7.839324E-01,0.000000E+00,1.306023E+00,2.118280E+04,1.188274E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00
01:30:00,7.839324E-01,0.000000E+00,2.230828E+00,3.400549E+04,2.475921E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00,7.839324E-01,0.000000E+00,1.169037E+00,1.885681E+04,1.053074E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00,7.839324E-01,0.000000E+00,1.311830E+00,2.114881E+04,1.184210E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00
01:40:00,7.839324E-01,0.000000E+00,2.238566E+00,3.399735E+04,2.474381E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00,7.839324E-01,0.000000E+00,1.176108E+00,1.886609E+04,1.048819E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00,7.839324E-01,0.000000E+00,1.317146E+00,2.110677E+04,1.179699E+04,7.839324E-01,9.671712E+03,7.839324E-01,0.000000E+00,0.000000E+00
