Evaluation,Generation 0: owPPD,Generation 0: NSE,Generation 1: owPPD,Generation 1: NSE,Generation 2: owPPD,Generation 2: NSE,Generation 3: owPPD,Generation 3: NSE,Generation 4: owPPD,Generation 4: NSE,Generation 5: owPPD,Generation 5: NSE,Generation 6: owPPD,Generation 6: NSE,Generation 7: owPPD,Generation 7: NSE,Generation 8: owPPD,Generation 8: NSE,Generation 9: owPPD,Generation 9: NSE,Generation 10: owPPD,Generation 10: NSE,Generation 11: owPPD,Generation 11: NSE,Generation 12: owPPD,Generation 12: NSE,Generation 13: owPPD,Generation 13: NSE,Generation 14: owPPD,Generation 14: NSE,Generation 15: owPPD,Generation 15: NSE,Generation 16: owPPD,Generation 16: NSE,Generation 17: owPPD,Generation 17: NSE,Generation 18: owPPD,Generation 18: NSE,Generation 19: owPPD,Generation 19: NSE,Generation 20: owPPD,Generation 20: NSE
0,10.67,1608.33,13.62,1558.33,7.46,1677.78,16.75,1533.33,8.54,1619.44,8.54,1619.44,8.54,1619.44,8.54,1619.44,8.54,1619.44,8.08,1633.33,8.08,1633.33,6.92,1655.56,11.32,1547.22,11.32,1547.22,19.35,1497.22,11.76,1538.89,11.99,1536.11,13.1,1516.67,13.1,1516.67,13.1,1516.67,13.1,1516.67
1,11.46,1600.0,7.46,1677.78,16.75,1533.33,10.08,1597.22,7.91,1655.56,12.18,1544.44,12.18,1544.44,6.54,1683.33,10.07,1572.22,12.36,1530.56,6.92,1655.56,6.92,1655.56,19.35,1497.22,19.35,1497.22,11.76,1538.89,11.99,1536.11,13.1,1516.67,11.4,1541.67,11.4,1541.67,11.4,1541.67,11.4,1541.67
2,8.99,1647.22,8.15,1661.11,10.08,1597.22,8.54,1619.44,12.18,1544.44,9.65,1605.56,9.65,1605.56,10.07,1572.22,8.08,1633.33,6.92,1655.56,8.14,1627.78,11.32,1547.22,9.39,1583.33,8.85,1611.11,11.99,1536.11,13.1,1516.67,11.4,1541.67,13.1,1516.67,13.1,1516.67,13.1,1516.67,13.1,1516.67
3,9.39,1636.11,12.2,1563.89,11.96,1586.11,7.91,1655.56,9.65,1605.56,9.53,1608.33,9.53,1608.33,9.67,1600.0,13.25,1527.78,11.06,1558.33,8.19,1625.0,19.35,1497.22,6.47,1680.56,11.76,1538.89,12.19,1533.33,11.4,1541.67,13.1,1516.67,8.26,1613.89,8.26,1613.89,8.26,1613.89,14.07,1511.11
4,13.62,1558.33,14.81,1544.44,8.54,1619.44,7.64,1669.44,11.39,1572.22,18.29,1527.78,11.8,1550.0,8.08,1633.33,12.36,1530.56,8.14,1627.78,6.92,1655.56,19.08,1500.0,8.85,1611.11,11.99,1536.11,19.35,1497.22,13.1,1516.67,7.07,1641.67,8.85,1591.67,8.85,1591.67,14.07,1511.11,7.5,1619.44
5,9.94,1627.78,13.62,1558.33,9.76,1605.56,12.18,1544.44,9.82,1600.0,11.8,1550.0,10.04,1583.33,7.82,1650.0,6.92,1655.56,8.19,1625.0,9.03,1602.78,9.39,1583.33,11.76,1538.89,12.19,1533.33,13.1,1516.67,7.07,1641.67,8.26,1613.89,14.07,1511.11,14.07,1511.11,7.5,1619.44,11.27,1547.22
6,7.46,1677.78,16.75,1533.33,7.91,1655.56,8.38,1641.67,7.91,1655.56,8.25,1630.56,19.86,1513.89,13.25,1527.78,9.87,1580.56,11.24,1552.78,11.32,1547.22,6.58,1666.67,11.99,1536.11,19.35,1497.22,11.4,1541.67,8.26,1613.89,8.85,1591.67,9.46,1575.0,9.46,1575.0,9.11,1586.11,12.57,1525.0
7,8.15,1661.11,10.08,1597.22,7.64,1669.44,9.65,1605.56,7.46,1677.78,12.37,1530.56,6.54,1683.33,7.88,1647.22,11.06,1558.33,6.92,1655.56,19.35,1497.22,6.47,1680.56,12.19,1533.33,13.1,1516.67,13.1,1516.67,8.85,1591.67,6.85,1644.44,10.27,1552.78,10.27,1552.78,11.27,1547.22,12.03,1530.56
8,12.2,1563.89,14.81,1544.44,19.59,1527.78,10.09,1591.67,9.53,1608.33,10.04,1583.33,10.07,1572.22,12.36,1530.56,14.54,1522.22,11.74,1541.67,19.08,1500.0,8.85,1611.11,19.35,1497.22,11.4,1541.67,9.53,1572.22,6.85,1644.44,14.07,1511.11,7.5,1619.44,7.5,1619.44,12.57,1525.0,16.88,1497.22
9,14.81,1544.44,11.96,1586.11,12.18,1544.44,11.39,1572.22,6.76,1686.11,7.64,1661.11,9.67,1600.0,8.06,1638.89,8.14,1627.78,9.03,1602.78,9.39,1583.33,11.76,1538.89,13.1,1516.67,12.7,1525.0,7.07,1641.67,14.07,1511.11,12.74,1522.22,15.63,1505.56,9.11,1586.11,8.26,1613.89,11.62,1538.89
