Time (HH:MM:SS),Heating Setpoint (°C),Cooling Setpoint (°C)
01:00:00,15.91,29.79
02:00:00,16.85,27.74
03:00:00,15.52,29.57
04:00:00,16.11,27.96
05:00:00,14.75,29.38
06:00:00,18.21,23.37
07:00:00,19.54,22.15
08:00:00,18.9,22.06
09:00:00,20.78,24.24
10:00:00,17.75,23.65
11:00:00,17.23,23.99
12:00:00,17.49,24.77
13:00:00,20.87,24.33
14:00:00,18.39,24.62
15:00:00,20.93,24.26
16:00:00,18.43,24.71
17:00:00,20.95,24.56
18:00:00,20.26,24.58
19:00:00,21.61,26.98
20:00:00,19.38,24.65
21:00:00,21.1,23.38
22:00:00,20.16,24.18
23:00:00,15.71,27.12
00:00:00,16.95,27.03
