Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 10/15  01:00:00,57609639.64985575,57609639.64985575,6791184.0 
 10/15  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 10/15  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 10/15  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 10/15  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 10/15  06:00:00,102490122.98896277,102490122.98896277,6791184.0 
 10/15  07:00:00,249745718.31739683,249745718.31739686,6791184.0 
 10/15  08:00:00,321817298.21008667,321817298.2100867,6791184.0 
 10/15  09:00:00,370143894.7297344,370143894.7297344,6791184.0 
 10/15  10:00:00,315429816.03169456,315429816.0316945,6791184.0 
 10/15  11:00:00,433606542.47422996,433606542.4742299,11221717.379191772 
 10/15  12:00:00,464659959.4847223,464659959.4847222,20471323.01386516 
 10/15  13:00:00,443739885.8726439,443739885.8726439,17905154.01338234 
 10/15  14:00:00,332236066.95410659,332236066.9541065,13440632.325652738 
 10/15  15:00:00,616081453.4536789,616081453.4536787,11052445.964145903 
 10/15  16:00:00,373522523.9099183,373522523.90991827,15573118.828587985 
 10/15  17:00:00,290964540.65138217,290964540.6513821,10964036.855793152 
 10/15  18:00:00,315944076.4824706,315944076.4824706,6791184.0 
 10/15  19:00:00,164871169.02134104,164871169.02134104,6791184.0 
 10/15  20:00:00,152455626.209306,152455626.209306,6791184.0 
 10/15  21:00:00,135787885.52221344,135787885.52221347,6791184.0 
 10/15  22:00:00,77772390.65670999,77772390.65670999,6791184.0 
 10/15  23:00:00,72442274.24247962,72442274.24247962,6791184.0 
 10/15  24:00:00,57996196.7332391,57996196.7332391,6791184.0 
