Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 10/15  01:00:00,57609639.64985575,57609639.64985575,6791184.0 
 10/15  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 10/15  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 10/15  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 10/15  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 10/15  06:00:00,107210438.18432988,107210438.1843299,6791184.0 
 10/15  07:00:00,243619083.98278333,243619083.9827833,6791184.0 
 10/15  08:00:00,394298968.250077,394298968.2500769,6791184.0 
 10/15  09:00:00,303188639.3776846,303188639.37768456,6791184.0 
 10/15  10:00:00,321290352.731449,321290352.73144897,6791184.0 
 10/15  11:00:00,458394701.44072476,458394701.4407247,11221386.20461623 
 10/15  12:00:00,344911863.050752,344911863.0507519,20462100.803594274 
 10/15  13:00:00,416369933.890238,416369933.890238,17738480.68855664 
 10/15  14:00:00,393928549.4531599,393928549.4531598,13532998.329604812 
 10/15  15:00:00,495530483.10412576,495530483.1041257,11051782.41803262 
 10/15  16:00:00,346255336.8683459,346255336.86834588,15569492.681139987 
 10/15  17:00:00,398303859.52360066,398303859.52360066,10979475.779000322 
 10/15  18:00:00,200657440.86610119,200657440.86610116,6791184.0 
 10/15  19:00:00,165693827.72879318,165693827.72879315,6791184.0 
 10/15  20:00:00,257583264.83466763,257583264.83466763,6791184.0 
 10/15  21:00:00,135680014.91671295,135680014.916713,6791184.0 
 10/15  22:00:00,77772390.65670999,77772390.65670999,6791184.0 
 10/15  23:00:00,72442274.24247962,72442274.24247962,6791184.0 
 10/15  24:00:00,57996196.7332391,57996196.7332391,6791184.0 
